RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
1470,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,3,2,4,4,4,1,2,1,2,4,1,0.802200473100524,0.4970381168247493
2374,7,1,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,4,1,1,4,5,4,1,0.5324944802748801,0.3070814811601862
1177,5,3,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1,2,1,2,1,1,4,1,2,2,2,4,1,1.249641554226438,0.6468503180639644
15459,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,2,1,1,2,1,2,2,1.604400946201048,1.3112447745158515
9849,9,2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,1,4,8,1,1,0.6763508941015829,0.241760653952065
8178,10,1,,,,,,,,,,,,2,1,1,2,1,1,4,1,1,2,99,2,1,1.604400946201048,0.6940787421267808
3682,4,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,2,2,3,1,1,3,6,3,1,1.261163338169648,1.1222980961288298
6999,10,3,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,1,4,1,2,2,5,4,2,1.604400946201048,0.8561414189126726
9945,10,3,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,3,1,2,2,4,3,1,1.604400946201048,1.0099203754230932
1901,10,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,2,2,1,1,3,2,1,2,3,7,4,1,1.2033007096507862,0.6885205028463798
18470,10,3,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,3,1,2,3,4,3,1,2.4066014193015723,0.4728156123010687
18634,10,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,2,1,4,3,1,0.802200473100524,0.6161642993203253
16757,9,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,2,1,5,3,3,1,1,99,3,4,1,0.901801192135444,0.559988046805073
9783,10,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,3,1,2,3,5,3,1,1.2033007096507862,0.7638631775902641
6862,9,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,2,1,1,4,1,1,1,1,1,1,0.4509005960677219,0.221115660355201
11555,7,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2,1,2,1,1,3,2,1,2,2,8,3,1,0.3549963201832534,0.2824516173216229
13673,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6,1,3,2,3,5,1,4,1,2,5,1,1,0.802200473100524,2.422277636612097
14364,10,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,12,3,2,2,1,1,4,1,1,2,3,3,1,0.802200473100524,0.5766571266178363
15793,10,1,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3,4,1,99,3,2,4,2,2,4,4,1,1.604400946201048,5.089685535948046
18408,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,2,1,2,2,7,4,1,1.604400946201048,1.208065249184001
5945,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,2,2,4,2,1,0.802200473100524,0.5361416136892311
16607,7,2,,,,,,,,,,,,99,3,99,2,2,2,3,1,2,99,1,4,1,0.1774981600916267,0.1780490779319513
10500,2,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,2,2,1,1,4,1,1,1,4,3,1,0.2886818343575065,0.1464429731952147
16442,10,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,1,1,3,2,1,2,2,7,3,1,0.802200473100524,0.8698643746688327
13114,10,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,3,3,2,2,1,5,1,1,0.401100236550262,0.3810629995847999
4142,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,2,2,5,3,2,1.604400946201048,1.2310885871189066
812,10,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,12,1,3,2,1,1,2,1,1,2,6,4,1,0.802200473100524,1.267660320221586
10250,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,3,1,2,2,1,3,2,1.604400946201048,1.1258293248556868
3716,1,1,1.0,99.0,1.0,99.0,1.0,1.0,99.0,99.0,1.0,99.0,1.0,99,99,99,99,99,99,2,1,1,99,99,3,1,0.1601642992143456,0.0689407420217793
