respid,comtype2,smuse_fb,smuse_yt,smuse_x,smuse_ig,smuse_sc,smuse_tt,smuse_rd,smuse_bsk,smuse_th,smuse_ts,relig,educcat,party,hisp,racethn,agecat,birthplace,gender,adults,inc_sdt1,cregion,metro
1470,3,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,3,2,4,4,1,2,1,2,4,1
2374,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,2,4,1,1,4,5,4,1
1177,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1,2,1,2,1,4,1,2,2,2,4,1
15459,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,2,1,1,2,1,2,2
9849,2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,1,4,8,1,1
3682,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,2,3,1,1,3,6,3,1
6999,3,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,4,1,2,2,5,4,2
9945,3,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,3,1,2,2,4,3,1
1901,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,2,2,1,3,2,1,2,3,7,4,1
18470,3,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,3,1,2,3,4,3,1
18634,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,2,1,4,3,1
16757,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,2,1,3,3,1,1,99,3,4,1
9783,3,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,3,1,2,3,5,3,1
6862,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,2,1,4,1,1,1,1,1,1
11555,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2,1,2,1,3,2,1,2,2,8,3,1
13673,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6,1,3,2,5,1,4,1,2,5,1,1
14364,1,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,12,3,2,2,1,4,1,1,2,3,3,1
15793,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3,4,1,3,2,4,2,2,4,4,1
18408,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,2,2,1,2,1,2,2,7,4,1
5945,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,2,2,4,2,1
10500,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,2,2,1,4,1,1,1,4,3,1
16442,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,2,1,1,3,2,1,2,2,7,3,1
13114,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,3,3,2,2,1,5,1,1
4142,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,4,1,2,2,5,3,2
812,2,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,3,2,1,2,1,1,2,6,4,1
10250,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,3,1,2,2,1,3,2
3716,1,1.0,99.0,1.0,99.0,1.0,99.0,99.0,1.0,99.0,1.0,99,99,99,99,99,2,1,1,99,99,3,1
9247,1,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12,2,3,1,3,1,3,1,3,1,4,1
14233,3,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2,3,2,1,4,1,1,1,3,3,2
13255,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,12,2,1,2,1,3,1,1,2,8,3,2
1564,1,1.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,2,1,4,1,2,1,1,1,1
780,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,10,1,3,2,2,2,4,1,2,8,1,1
11181,3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2,3,1,2,1,4,1,2,1,1,1,1
5145,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,3,2,1,4,1,1,99,6,2,1
16368,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,2,2,2,2,2,1,1,1,2,2,1
3017,2,1.0,1.0,2.0,2.0,99.0,2.0,2.0,1.0,2.0,2.0,2,2,2,2,1,4,1,1,2,5,4,1
7158,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,1,1,8,4,1
14402,1,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,1,2,1,1,1,2,3,5,1,1
14373,2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,10,1,3,2,1,2,1,2,1,4,3,1
6489,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,2,1,4,1,2,2,4,3,2
11684,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2,1,2,1,2,1,2,2,6,1,1
17455,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,1,2,1,3,1,1,2,3,3,1
1698,2,1.0,1.0,2.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,3,1,2,4,4,1,1
2820,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,2,2,1,3,1,1,2,2,2,2,1
11520,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,3,1,1,4,6,1,1
1644,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,3,3,1,3,3,1,2,3,5,4,1
533,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10,3,4,1,3,3,4,1,1,1,4,1
12802,2,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1,2,1,3,1,1,2,1,1,1,1
15977,2,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1,1,2,5,2,4,1,2,6,3,1
7189,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,1,2,1,4,1,1,2,4,3,1
17593,1,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,3,4,4,1,1,5,4,1
11126,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,10,1,2,2,1,3,1,1,2,5,4,1
1641,3,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2,1,2,1,2,1,1,2,4,1,2
7003,1,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2,2,4,1,1,2,1,1,4,1
12054,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10,1,2,2,1,4,1,1,2,8,3,1
7351,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,10,1,3,2,1,2,4,2,2,8,1,1
8105,1,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,1,2,2,1,3,1,2,1,6,4,1
8341,2,1.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,12,3,3,2,1,2,1,2,2,1,3,1
15215,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3,3,1,3,3,4,1,4,3,4,1
11677,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,2,99,2,1,3,4,4,2,3,99,4,1
17186,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,2,1,1,2,7,1,1
5402,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,3,1,1,3,8,3,1
8272,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2,1,1,2,5,4,4,2,3,8,4,1
5899,3,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1,2,2,1,3,1,2,2,5,1,2
8863,1,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,2,2,1,4,1,1,1,4,2,1
17450,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,4,1,1,2,2,3,1
17434,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,1,3,4,1,2,2,4,4,1
2616,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1,2,1,2,1,2,1,2,2,3,3,1
14436,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,1,2,8,3,1
10828,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,2,4,1,2,1,2,3,1
8391,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2,3,1,3,1,1,2,3,4,3,1
