respid,Community Type,Religion,Education Level,Age group,Gender,Family income,US region
1470,Rural,Nothing in particular,College graduate+,65+,A woman,"$30,000 to less than $40,000",West
2374,Urban,Protestant,Some College,65+,A man,"$70,000 to less than $100,000",West
1177,Rural,Protestant,Some College,65+,A woman,"$30,000 to less than $40,000",West
15459,Rural,Protestant,Some College,30-49,A man,"Less than $30,000",Midwest
9849,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",Northeast
3682,Urban,Roman Catholic,College graduate+,50-64,A man,"$100,000 to less than $125,000",South
6999,Rural,Protestant,Some College,65+,A woman,"$70,000 to less than $100,000",West
9945,Rural,Protestant,College graduate+,50-64,A woman,"$50,000 to less than $70,000",South
1901,Suburban,Roman Catholic,Some College,30-49,A woman,"$125,000 to less than $150,000",West
18470,Rural,Protestant,College graduate+,50-64,A woman,"$50,000 to less than $70,000",South
18634,Urban,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
16757,Urban,Nothing in particular,Some College,50-64,A man,"$40,000 to less than $50,000",West
9783,Rural,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
6862,Suburban,Roman Catholic,Some College,65+,A man,"Less than $30,000",Northeast
11555,Urban,Roman Catholic,College graduate+,30-49,A woman,"$150,000 or more",South
13673,Suburban,Muslim,College graduate+,18-29,A man,"$70,000 to less than $100,000",Northeast
14364,Urban,Nothing in particular,H.S. graduate or less,65+,A man,"$40,000 to less than $50,000",South
15793,Urban,Roman Catholic,H.S. graduate or less,30-49,A woman,"$50,000 to less than $70,000",West
18408,Suburban,Protestant,College graduate+,30-49,A woman,"$125,000 to less than $150,000",West
5945,Suburban,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",Midwest
10500,Urban,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",South
16442,Suburban,Roman Catholic,Some College,30-49,A woman,"$125,000 to less than $150,000",South
13114,Suburban,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",Northeast
4142,Rural,Protestant,Some College,65+,A woman,"$70,000 to less than $100,000",South
812,Suburban,Nothing in particular,College graduate+,30-49,A man,"$100,000 to less than $125,000",West
10250,Rural,Protestant,H.S. graduate or less,50-64,A woman,"Less than $30,000",South
3716,Urban,Refused/Web blank,Refused,30-49,A man,Refused/Web blank,South
9247,Urban,Nothing in particular,Some College,18-29,A man,"Less than $30,000",West
14233,Rural,Roman Catholic,Some College,65+,A man,"$40,000 to less than $50,000",South
13255,Rural,Nothing in particular,Some College,50-64,A man,"$150,000 or more",South
1564,Urban,Roman Catholic,H.S. graduate or less,65+,A woman,"Less than $30,000",Northeast
780,Urban,Agnostic,College graduate+,30-49,A man,"$150,000 or more",Northeast
11181,Rural,Roman Catholic,H.S. graduate or less,65+,A woman,"Less than $30,000",Northeast
5145,Rural,Protestant,H.S. graduate or less,65+,A man,"$100,000 to less than $125,000",Midwest
16368,Urban,Protestant,Some College,30-49,A man,"$30,000 to less than $40,000",Midwest
3017,Suburban,Roman Catholic,Some College,65+,A man,"$70,000 to less than $100,000",West
7158,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",West
14402,Urban,Roman Catholic,College graduate+,18-29,A woman,"$70,000 to less than $100,000",Northeast
14373,Suburban,Agnostic,College graduate+,30-49,A woman,"$50,000 to less than $70,000",South
6489,Rural,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
11684,Suburban,Roman Catholic,Some College,30-49,A woman,"$100,000 to less than $125,000",Northeast
17455,Rural,Roman Catholic,H.S. graduate or less,50-64,A man,"$40,000 to less than $50,000",South
1698,Suburban,Protestant,Some College,50-64,A woman,"$50,000 to less than $70,000",Northeast
2820,Urban,Protestant,Some College,18-29,A woman,"$30,000 to less than $40,000",Midwest
11520,Suburban,Protestant,College graduate+,50-64,A man,"$100,000 to less than $125,000",Northeast
1644,Suburban,Protestant,H.S. graduate or less,50-64,A woman,"$70,000 to less than $100,000",West
533,Urban,Agnostic,H.S. graduate or less,50-64,A man,"Less than $30,000",West
12802,Suburban,Roman Catholic,College graduate+,18-29,A woman,"Less than $30,000",Northeast
15977,Suburban,Protestant,College graduate+,30-49,A man,"$100,000 to less than $125,000",South
7189,Suburban,Roman Catholic,College graduate+,65+,A man,"$50,000 to less than $70,000",South
17593,Urban,Protestant,College graduate+,65+,A man,"$70,000 to less than $100,000",West
11126,Suburban,Agnostic,College graduate+,50-64,A man,"$70,000 to less than $100,000",West
1641,Rural,Protestant,Some College,30-49,A man,"$50,000 to less than $70,000",Northeast
7003,Urban,Protestant,Some College,18-29,A woman,"Less than $30,000",West
12054,Suburban,Agnostic,College graduate+,65+,A man,"$150,000 or more",South
7351,Urban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",Northeast
8105,Urban,Roman Catholic,College graduate+,50-64,A woman,"$100,000 to less than $125,000",West
8341,Suburban,Nothing in particular,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
15215,Urban,Roman Catholic,H.S. graduate or less,50-64,A man,"$40,000 to less than $50,000",West
11677,Urban,Roman Catholic,Refused,65+,A woman,Refused/Web blank,West
17186,Suburban,Protestant,College graduate+,30-49,A man,"$125,000 to less than $150,000",Northeast
5402,Urban,Protestant,College graduate+,50-64,A man,"$150,000 or more",South
8272,Suburban,Roman Catholic,College graduate+,65+,A woman,"$150,000 or more",West
5899,Rural,Roman Catholic,College graduate+,50-64,A woman,"$70,000 to less than $100,000",Northeast
8863,Urban,Nothing in particular,College graduate+,65+,A man,"$50,000 to less than $70,000",Midwest
17450,Rural,Protestant,H.S. graduate or less,65+,A man,"$30,000 to less than $40,000",South
17434,Suburban,Roman Catholic,H.S. graduate or less,65+,A woman,"$50,000 to less than $70,000",West
2616,Urban,Protestant,Some College,30-49,A woman,"$40,000 to less than $50,000",South
14436,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",South
10828,Suburban,Protestant,College graduate+,65+,A woman,"$30,000 to less than $40,000",South
8391,Suburban,Roman Catholic,Some College,18-29,A woman,"$50,000 to less than $70,000",South
8108,Urban,Protestant,H.S. graduate or less,50-64,A man,"$30,000 to less than $40,000",Midwest
5136,Rural,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",Midwest
1220,Suburban,Protestant,College graduate+,30-49,A woman,"$125,000 to less than $150,000",South
503,Suburban,Agnostic,College graduate+,30-49,A man,"$125,000 to less than $150,000",West
301,Rural,Protestant,Some College,50-64,A man,"$70,000 to less than $100,000",Midwest
3930,Urban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",South
16916,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",South
18133,Rural,Jewish,College graduate+,65+,A man,"$150,000 or more",Northeast
456,Rural,Nothing in particular,Some College,65+,A woman,"$50,000 to less than $70,000",Midwest
16837,Rural,Protestant,H.S. graduate or less,30-49,A woman,"$50,000 to less than $70,000",Midwest
6610,Rural,Nothing in particular,Some College,65+,A man,"Less than $30,000",South
5636,Rural,Protestant,Some College,65+,A woman,"$30,000 to less than $40,000",South
3637,Urban,Protestant,H.S. graduate or less,65+,A woman,"Less than $30,000",South
16193,Suburban,Nothing in particular,College graduate+,65+,A man,"$70,000 to less than $100,000",West
9738,Rural,Protestant,Some College,50-64,A woman,"$100,000 to less than $125,000",Northeast
7179,Suburban,Roman Catholic,College graduate+,30-49,A man,"$100,000 to less than $125,000",West
2499,Rural,Protestant,Some College,18-29,A man,"$70,000 to less than $100,000",South
8130,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$150,000 or more",South
4329,Suburban,Protestant,Some College,30-49,A woman,"$30,000 to less than $40,000",Midwest
12611,Urban,Nothing in particular,College graduate+,50-64,A woman,"$50,000 to less than $70,000",South
80,Suburban,Nothing in particular,H.S. graduate or less,18-29,A woman,"Less than $30,000",Midwest
18510,Suburban,Jewish,H.S. graduate or less,65+,A woman,Refused/Web blank,South
1625,Suburban,Protestant,College graduate+,65+,A woman,"Less than $30,000",West
17184,Suburban,Protestant,College graduate+,Refused,A woman,Refused/Web blank,South
2631,Urban,Agnostic,College graduate+,30-49,A woman,"$70,000 to less than $100,000",Northeast
189,Rural,Protestant,College graduate+,50-64,A woman,"$150,000 or more",South
13929,Suburban,Nothing in particular,College graduate+,30-49,A man,"$70,000 to less than $100,000",Northeast
9655,Rural,Roman Catholic,H.S. graduate or less,50-64,A woman,Refused/Web blank,West
2325,Urban,Orthodox,College graduate+,50-64,A man,"$50,000 to less than $70,000",South
648,Rural,Protestant,H.S. graduate or less,30-49,A woman,"$30,000 to less than $40,000",South
14586,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$100,000 to less than $125,000",Midwest
2460,Urban,Protestant,H.S. graduate or less,50-64,A man,"Less than $30,000",South
17975,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$125,000 to less than $150,000",West
13453,Suburban,Nothing in particular,H.S. graduate or less,50-64,A woman,"Less than $30,000",Northeast
4014,Refused/Web blank,Roman Catholic,Some College,65+,A woman,"$50,000 to less than $70,000",Northeast
5491,Suburban,Protestant,College graduate+,65+,A man,"$125,000 to less than $150,000",West
461,Suburban,Roman Catholic,College graduate+,30-49,A man,"$150,000 or more",South
5357,Rural,Protestant,H.S. graduate or less,18-29,A woman,"$70,000 to less than $100,000",South
10833,Suburban,Roman Catholic,H.S. graduate or less,65+,A man,"Less than $30,000",South
9398,Urban,Nothing in particular,Some College,18-29,A woman,"Less than $30,000",South
6180,Suburban,Protestant,Some College,50-64,A woman,"$150,000 or more",Midwest
8956,Urban,Mormon,College graduate+,30-49,A woman,"$125,000 to less than $150,000",West
7205,Suburban,Nothing in particular,H.S. graduate or less,30-49,A man,"Less than $30,000",Midwest
3866,Urban,Protestant,College graduate+,30-49,A man,"$50,000 to less than $70,000",Midwest
5603,Urban,Atheist,College graduate+,30-49,A man,"$50,000 to less than $70,000",South
18661,Rural,Protestant,Some College,30-49,A woman,"$70,000 to less than $100,000",South
1507,Suburban,Roman Catholic,Some College,65+,A man,Refused/Web blank,South
8775,Refused/Web blank,Protestant,College graduate+,65+,A woman,"$150,000 or more",West
8988,Urban,Roman Catholic,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",South
3428,Suburban,Nothing in particular,College graduate+,65+,A man,"$50,000 to less than $70,000",South
3460,Rural,Roman Catholic,Some College,50-64,A woman,"$40,000 to less than $50,000",Midwest
10841,Suburban,Jewish,H.S. graduate or less,18-29,A man,"$30,000 to less than $40,000",Midwest
14801,Urban,Roman Catholic,H.S. graduate or less,18-29,A woman,"$30,000 to less than $40,000",South
3195,Suburban,Nothing in particular,College graduate+,30-49,A man,"$150,000 or more",South
8043,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$150,000 or more",West
5481,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$50,000 to less than $70,000",West
17330,Suburban,Roman Catholic,College graduate+,65+,A woman,"$100,000 to less than $125,000",West
16640,Suburban,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",South
3011,Suburban,Roman Catholic,College graduate+,65+,A woman,"$150,000 or more",Northeast
8646,Urban,Nothing in particular,Some College,18-29,A woman,"$50,000 to less than $70,000",South
11199,Urban,Protestant,College graduate+,50-64,A man,"$125,000 to less than $150,000",West
8732,Rural,Roman Catholic,H.S. graduate or less,30-49,A man,"Less than $30,000",South
17343,Urban,Hindu,College graduate+,30-49,A man,"$125,000 to less than $150,000",West
4300,Urban,Roman Catholic,H.S. graduate or less,65+,A woman,Refused/Web blank,Northeast
5576,Urban,Nothing in particular,Some College,18-29,A man,"Less than $30,000",West
10902,Urban,Protestant,H.S. graduate or less,65+,A woman,"$70,000 to less than $100,000",West
5825,Suburban,Roman Catholic,Some College,65+,A woman,"$150,000 or more",South
11230,Urban,Roman Catholic,College graduate+,18-29,A woman,"$40,000 to less than $50,000",Northeast
14744,Urban,Protestant,College graduate+,50-64,A man,"$150,000 or more",Midwest
3890,Rural,Protestant,College graduate+,50-64,A man,"$150,000 or more",Midwest
6547,Urban,Protestant,Some College,65+,A woman,"$30,000 to less than $40,000",Midwest
5122,Rural,Protestant,College graduate+,30-49,A woman,"$125,000 to less than $150,000",South
17549,Suburban,Nothing in particular,Some College,50-64,A woman,"Less than $30,000",South
15273,Suburban,Nothing in particular,College graduate+,65+,A woman,"$150,000 or more",West
17405,Refused/Web blank,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",West
13063,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$125,000 to less than $150,000",Midwest
17585,Rural,Nothing in particular,Some College,50-64,A woman,"$50,000 to less than $70,000",South
18706,Urban,Protestant,H.S. graduate or less,50-64,A man,"$50,000 to less than $70,000",West
855,Rural,Roman Catholic,H.S. graduate or less,30-49,A woman,"Less than $30,000",West
12919,Suburban,Roman Catholic,H.S. graduate or less,50-64,A woman,"$40,000 to less than $50,000",South
5970,Rural,Roman Catholic,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
11753,Suburban,Protestant,College graduate+,18-29,A man,"$70,000 to less than $100,000",West
10825,Suburban,Roman Catholic,Some College,65+,A man,"$70,000 to less than $100,000",Midwest
16939,Suburban,Nothing in particular,College graduate+,65+,A man,"$30,000 to less than $40,000",West
11904,Rural,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",West
17851,Urban,Protestant,College graduate+,50-64,A woman,"$50,000 to less than $70,000",South
6239,Suburban,Jewish,Some College,50-64,A woman,"$70,000 to less than $100,000",South
7035,Rural,Protestant,Some College,65+,A man,"$30,000 to less than $40,000",South
78,Rural,Buddhist,College graduate+,65+,A man,"$70,000 to less than $100,000",West
10962,Suburban,Protestant,College graduate+,65+,A woman,Refused/Web blank,South
610,Urban,Protestant,College graduate+,65+,A man,"$70,000 to less than $100,000",South
13422,Suburban,Protestant,H.S. graduate or less,50-64,A woman,"$30,000 to less than $40,000",West
17387,Rural,Protestant,College graduate+,18-29,A woman,"Less than $30,000",West
11163,Suburban,Roman Catholic,College graduate+,50-64,A woman,"$150,000 or more",Northeast
16776,Suburban,Nothing in particular,Some College,18-29,A man,"$150,000 or more",West
2221,Rural,Protestant,Some College,65+,A woman,"Less than $30,000",South
925,Urban,Nothing in particular,Some College,50-64,A man,"$30,000 to less than $40,000",South
1635,Rural,Roman Catholic,Some College,65+,A man,"$40,000 to less than $50,000",West
6272,Rural,Protestant,Some College,30-49,A woman,"$70,000 to less than $100,000",Midwest
13098,Urban,Protestant,Some College,65+,A man,"$40,000 to less than $50,000",West
12647,Rural,Nothing in particular,Some College,50-64,A woman,"Less than $30,000",Midwest
16817,Suburban,Jewish,Some College,30-49,A woman,"$150,000 or more",South
11751,Suburban,Nothing in particular,Some College,18-29,A man,"$70,000 to less than $100,000",Midwest
7200,Suburban,Roman Catholic,Some College,65+,A man,Refused/Web blank,Northeast
14386,Urban,Roman Catholic,College graduate+,18-29,A man,"$40,000 to less than $50,000",Midwest
12734,Suburban,Atheist,College graduate+,30-49,A man,"$150,000 or more",Northeast
16856,Urban,Protestant,College graduate+,65+,A woman,"$30,000 to less than $40,000",South
13603,Rural,Roman Catholic,H.S. graduate or less,65+,A woman,"$30,000 to less than $40,000",Northeast
12642,Suburban,Protestant,H.S. graduate or less,50-64,A man,"$30,000 to less than $40,000",South
15768,Suburban,Protestant,College graduate+,50-64,A man,"$100,000 to less than $125,000",West
13169,Suburban,Nothing in particular,Some College,18-29,A woman,"$30,000 to less than $40,000",South
3121,Suburban,Nothing in particular,College graduate+,18-29,A woman,"$70,000 to less than $100,000",South
18026,Suburban,Roman Catholic,Some College,50-64,A man,"$70,000 to less than $100,000",West
12621,Suburban,Protestant,College graduate+,30-49,A man,"$150,000 or more",South
4058,Suburban,Roman Catholic,Some College,65+,A woman,"$100,000 to less than $125,000",West
