RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RADIO,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
1470,2,1,,10,2025-05-27,2025-05-27,4,2,3,2,2,2,1,3,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,12,3,2,6,6,4,7,1,1,3,2,2,2,4,4,11,4,1,2,1,1,2,2,4,1,0.802200473100524,0.4970381168247493
2374,2,1,,7,2025-05-01,2025-05-01,3,2,1,2,3,1,3,3,4,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,6,6,3,6,2,1,2,,2,2,2,2,10,4,1,1,4,1,2,5,4,1,0.5324944802748801,0.30708148116018624
1177,3,1,10,5,2025-03-04,2025-03-04,2,1,3,2,2,1,2,3,4,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,5,1,1,2,2,1,1,,1,2,1,1,10,4,1,2,2,1,1,2,4,1,1.249641554226438,0.6468503180639644
15459,2,1,,10,2025-05-05,2025-05-05,3,3,3,2,2,2,3,4,4,2,1,1,2,2,2,,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,5,1,2,2,1,1,,1,2,1,1,6,2,1,1,2,1,1,1,2,2,1.604400946201048,1.3112447745158515
9849,1,1,9,9,2025-02-22,2025-02-22,2,1,2,2,3,1,2,1,4,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,4,1,1,1,1,1,,1,2,1,1,10,4,1,1,4,1,1,8,1,1,0.6763508941015829,0.241760653952065
8178,3,1,9,10,2025-03-10,2025-03-10,2,2,1,1,2,1,2,1,4,1,2,2,6,4,,,,,,,,,,,,,,2,1,1,1,2,2,2,4,6,4,6,1,1,1,,1,2,1,1,13,4,1,1,2,1,99,99,2,1,1.604400946201048,0.6940787421267808
3682,1,1,9,4,2025-02-27,2025-02-27,3,2,1,2,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,4,6,1,2,1,1,3,2,2,2,2,2,7,3,1,1,3,1,2,6,3,1,1.261163338169648,1.1222980961288298
6999,2,1,,10,2025-05-12,2025-05-12,3,3,3,2,3,1,3,2,4,1,1,1,3,3,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,6,2,2,2,1,3,1,1,2,1,1,13,4,1,2,2,1,1,5,4,2,1.604400946201048,0.8561414189126726
9945,2,1,,10,2025-05-09,2025-05-09,3,2,3,2,3,1,2,3,4,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,2,1,1,9,3,1,2,2,1,1,4,3,1,1.604400946201048,1.0099203754230932
1901,1,1,9,10,2025-03-01,2025-03-01,1,1,2,2,2,2,2,2,4,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,5,3,2,2,2,1,2,,2,1,1,3,6,2,1,2,3,1,2,7,4,1,1.2033007096507862,0.6885205028463798
