respid,comtype2,smuse_fb,smuse_yt,smuse_x,smuse_ig,smuse_sc,smuse_tt,smuse_rd,smuse_bsk,smuse_th,smuse_ts,relig,educcat,party,hisp,racethn,agecat,birthplace,gender,adults,inc_sdt1,cregion,metro
1470,Rural,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,College graduate+,Independent,No,Other,65+,"U.S. - 50 states, District of Columbia",A woman,1,"$30,000 to less than $40,000",West,Metropolitan
2374,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Democrat,No,Black non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,4,"$70,000 to less than $100,000",West,Metropolitan
1177,Rural,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this",Protestant,Some College,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$30,000 to less than $40,000",West,Metropolitan
15459,Rural,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,2,"Less than $30,000",Midwest,Non-metropolitan
9849,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,4,"$150,000 or more",Northeast,Metropolitan
3682,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Independent,No,Black non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,3,"$100,000 to less than $125,000",South,Metropolitan
6999,Rural,"Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Independent,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$70,000 to less than $100,000",West,Non-metropolitan
9945,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Independent,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,2,"$50,000 to less than $70,000",South,Metropolitan
1901,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Democrat,Yes,Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,3,"$125,000 to less than $150,000",West,Metropolitan
18470,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,3,"$50,000 to less than $70,000",South,Metropolitan
